化學式：Ne	氖
化學式：Na	鈉
化學式：Mg	鎂
化學式：Al	鋁
化學式：Si	硅
化學式：P	磷
化學式：S	硫
化學式：Cl	氯
化學式：Ar	氬
化學式：K	鉀
化學式：Ca	鈣
化學式：Sc	鈧
化學式：Ti	鈦
化學式：V	釩
化學式：Cr	鉻
化學式：Mn	錳
化學式：Fe	鐵
化學式：Co	鈷
化學式：Ni	鎳
化學式：Cu	銅
化學式：Zn	鋅
化學式：Ga	鎵
化學式：Ge	鍺
化學式：As	砷
化學式：Se	硒
化學式：Br	溴
化學式：Kr	氪
化學式：Rb	銣
化學式：Sr	鍶
化學式：Y	釔
化學式：Zr	鋯
化學式：Nb	鈮
化學式：Mo	鉬
化學式：Tc	鍀
化學式：Ru	釕
化學式：Rh	銠
化學式：Pd	鈀
化學式：Ag	銀
化學式：Cd	鎘
化學式：In	銦
化學式：Sn	錫
化學式：Sb	銻
化學式：Te	碲
化學式：I	碘
化學式：Xe	氙
化學式：Cs	銫
化學式：Ba	鋇
化學式：La	鑭
化學式：Ce	鈰
化學式：Pr	鐠
化學式：Nd	釹
化學式：Pm	鉕
化學式：Sm	釤
化學式：Eu	銪
化學式：Gd	釓
化學式：Tb	鋱
化學式：Dy	鏑
化學式：Ho	鈥
化學式：Er	鉺
化學式：Tm	銩
化學式：Yb	鐿
化學式：Lu	鑥
化學式：Hf	鉿
化學式：Ta	鉭
化學式：W	鎢
化學式：Re	錸
化學式：Os	鋨
化學式：Ir	銥
化學式：Pt	鉑
化學式：Au	金
化學式：Hg	汞
化學式：Tl	鉈
化學式：Pb	鉛
化學式：Bi	鉍
化學式：Po	釙
化學式：At	砹
化學式：Rn	氡
化學式：Fr	鈁
化學式：Ra	鐳
化學式：Ac	錒
化學式：Th	釷
化學式：Pa	鏷
化學式：U	鈾
化學式：Np	鎿
化學式：Pu	鈈
化學式：Am	鎇
化學式：Cm	鋦
化學式：Bk	錇
化學式：Cf	鐦
化學式：Es	鎄
化學式：Fm	鐨
化學式：Md	鍆
化學式：No	鍩
化學式：Lr	鐒
化學式：Rf	鑪
化學式：Db	𨧀
化學式：Sg	𨭎
化學式：Bh	𨨏
化學式：Hs	𨭆
化學式：Mt	䥑
化學式：Ds	鐽
化學式：Rg	錀
化學式：Cn	鎶
化學式：Nh	鿭
化學式：Fl	鈇
化學式：Mc	鏌
化學式：Lv	鉝
化學式：Ts	鿬
化學式：Og	鿫
化學式：Al₂O₃	藍寶石
化學式：SiO₂	氧化硅
化學式：Ar	氬氣
化學式：H₂	氫氣
化學式：O₂	氧氣
化學式：He	氦氣
化學式：N₂	氮氣
化學式：NH₃	氨氣
化學式：Cl₂	氯氣
化學式：TiO₂	氧化鈦
化學式：TiO₂	金紅石
單位：µm	微米
單位：km	千米
單位：mm	毫米
單位：dm	分米
單位：cm	釐米
單位：pm	皮米
單位：m	米
單位：Å	埃
單位：Å	埃米
時間：Apr.	四月
時間：Apr.	四月份
時間：Aug.	八月
時間：Aug.	八月份
時間：Dec.	十二月
時間：Dec.	十二月份
時間：Feb.	二月
時間：Feb.	二月份
時間：Fri.	週五
時間：Fri.	星期五
時間：Fri.	禮拜五
時間：Jan.	一月
時間：Jan.	一月份
時間：July.	七月
時間：July.	七月份
時間：June.	六月
時間：June.	六月份
時間：Mar.	三月
時間：Mar.	三月份
時間：May.	五月
時間：May.	五月份
時間：Mon.	週一
時間：Mon.	星期一
時間：Mon.	禮拜一
時間：Nov.	十一月
時間：Nov.	十一月份
時間：Oct.	十月
時間：Oct.	十月份
時間：Sat.	週六
時間：Sat.	星期六
時間：Sat.	禮拜六
時間：Sep.	九月
時間：Sep.	九月份
時間：Sun.	週日
時間：Sun.	星期日
時間：Sun.	禮拜日
時間：Thu.	週四
時間：Thu.	星期四
時間：Thu.	禮拜四
時間：Tue.	週二
時間：Tue.	星期二
時間：Tue.	禮拜二
時間：Wed.	週三
時間：Wed.	星期三
時間：Wed.	禮拜三
符號：%	百分之
符號：%	百分號
符號：+∞	正無窮
符號：-∞	負無窮
符號：1	百分之一百
符號：1	百分之百
符號：1	百分百
符號：<	小於
符號：>	大於
符號：`	反引號
符號：cm²	平方釐米
符號：cm³	立方厘米
符號：dm²	平方分米
符號：dm³	立方分米
符號：m²	平方米
符號：m³	立方米
符號：°	度
符號：′	分
符號：″	秒
符號：±	正負
符號：±	正負號
符號：²	兩次方
符號：²	二次方
符號：²	平方
符號：³	三次方
符號：³	立方
